Unnamed: 0,id,title,username,participants,datestamp,checked
,1400462869,СТАЧКОМ АЗОТА,stachkomazota,3041,2022-07-23 20:29:56.492059,False
,1294018193,Израиль и Беларусь. RAZAM!,razam_il,117,2022-07-23 20:29:56.718051,False
,1364932479,Tribuna.com Беларусь,tribuna_by,15255,2022-07-23 20:29:56.954873,False
,1216068602,Вясна | Брэст,viasna_brest,619,2022-07-23 20:29:57.575511,False
,1377720489,ХЗ. ХалезинЗнает,nicolai_khalezin,9412,2022-07-23 20:29:57.795939,False
,1146064270,МЧС Беларуси,mchs112by,15375,2022-07-23 20:29:58.543074,False
,1370844937,21vek.by 💜,my21vekby,3778,2022-07-23 20:29:59.547881,False
,1222606634,МКБ – Мая Краіна Беларусь,mkbelarus,64242,2022-07-23 20:29:59.808015,False
,1447053917,Позірк. Навіны пра Беларусь,pozirkonline,4718,2022-07-23 20:30:00.654072,False
,1317526074,Боровляны ИНФО,baraulyanyInfo,693,2022-07-23 20:30:01.083802,False
,1137503527,Shraibman,shraibman,41964,2022-07-23 20:30:01.742021,False
,1387168443,Беларускі Народны Трыбунал | Белорусский Народный Трибунал | БНТ,belaruski_narodny_tribunal,489,2022-07-23 20:30:03.729996,False
,1081346563,КиберСливы,cpartisans_dumps,10490,2022-07-23 20:30:04.395101,False
,1416292877,Новости Маяка Минска,AfishaMayak,398,2022-07-23 20:30:04.638850,False
,1194174859,Координационный совет,rada_vision,6505,2022-07-23 20:30:13.354947,False
,1323620151,BANKI24.BY,banki24_news,19429,2022-07-23 20:30:13.655011,False
,1373346984,Научное мнение,scienceopinion,2765,2022-07-23 20:30:16.167804,False
,1492725886,Union Bell,unionbell,684,2022-07-23 20:30:16.401485,False
,1070044994,Интекс-Пресс Барановичи,intexpress,7518,2022-07-23 20:30:16.633004,False
,1448963289,ТРЕБУЕМ РАЗОЙТИСЬ!,platformby,27,2022-07-23 20:30:20.320505,False
,1243038268,NEXTA,nexta_tv,378847,2022-07-23 20:30:20.550529,False
,1232818913,National Belographic,natbelographic,2588,2022-07-23 20:30:21.227915,False
,1374558515,Historyja,historyja,5272,2022-07-23 20:30:22.361590,False
,1353067021,Выборы видишь? | Зеркало Политика,vybory_smotri,24095,2022-07-23 20:30:22.585552,False
,1265384511,MAYDAY.TEAM,MAYDAYMog,1539,2022-07-23 20:30:22.832842,False
,1122114442,ПЛАТФОРМА ГОЛОС | новости,votebelarus2020,55456,2022-07-23 20:30:23.422595,False
,1390761032,Честная Газета,chestnajagazeta,856,2022-07-23 20:30:23.711331,False
,1204652329,Витебск невероятный,vitebsk_power,2783,2022-07-23 20:30:24.537551,False
,1485333887,Probono – контакт-центр помощи пострадавшим,probonoby,943,2022-07-23 20:30:24.844969,False
,1225922960,Советская Белоруссия,sovbelorussia,4204,2022-07-23 20:30:25.114543,False
,1499717236,LUXTA,luxta_tv,76627,2022-07-23 20:30:25.337047,False
,1364251999,Театральные мемы Беларуси,theatric,313,2022-07-23 20:30:25.595783,False
,1097605532,Менская хандра,menskdoldrums,903,2022-07-23 20:30:26.170775,False
,1268494926,Слуцкая Телега,slutsk,2178,2022-07-23 20:30:26.403682,False
,1379965249,БГЭУ | ИНИЦИАТИВА,bseu_initiative,1377,2022-07-23 20:30:27.194409,False
,1247134526,Письма к дочери,pisma_k,8837,2022-07-23 20:30:28.180666,False
,1411716037,Лебяжий 97%,lebiadziny,918,2022-07-23 20:30:40.801785,False
,1370232400,М4,mog_drive,140,2022-07-23 20:30:44.544814,False
,1231491589,Методист | Формы беларуского протеста,metodist_me,188,2022-07-23 20:30:45.279292,False
,1482090880,ГУРНЕВІЧ,dhurnievic,1873,2022-07-23 20:30:45.572524,False
,1432377018,Спадчына,spadczyna,2527,2022-07-23 20:30:45.966504,False
,1373434501,Рупар Брылевічаў 97,brylevichy97,111,2022-07-23 20:30:46.321749,False
,1246383502,Народный Опрос,narodny_opros,4218,2022-07-23 20:30:48.404642,False
,1474251370,Дмитрий Лаевский,advokat_laevski,2353,2022-07-23 20:30:50.078733,False
,1283005431,Новости skarga.help,skarga,189,2022-07-23 20:30:50.351641,False
,1374796789,INFLUENCE,lexup,957,2022-07-23 20:30:50.713252,False
,1484840657,Мифология Беларуси,belarus_mythology,4701,2022-07-23 20:30:51.443325,False
,1168931495,Формализм и волокита,formalism,118,2022-07-23 20:30:51.682525,False
,1270937158,Comm Беларусь,cmbel,696,2022-07-23 20:30:52.863405,False
,1370044472,К Е В О Р К О В ֍,kevorkovv,158,2022-07-23 20:30:53.094812,False
,1432415169,Новая Боровая 98%,newbor98pro,663,2022-07-23 20:30:53.441376,False
,1385229809,Belarus history,belarusian_history,9003,2022-07-23 20:30:53.983876,False
,1240912001,[не]Мирный БГУИР,peaceful_bsuir,2036,2022-07-23 20:30:55.183541,False
,1352033416,Канал Военного городка Уручье,gorodok97,92,2022-07-23 20:30:56.061939,False
,1413275904,NEXTA Live,nexta_live,1551036,2022-07-23 20:30:56.295629,False
,1306856781,Вольная Тучынка,Volnayatuchynka,31,2022-07-23 20:30:57.070657,False
,1340507666,"СТАЧКОМ ОАО ""Беларуськалий""",stachkom,5524,2022-07-23 20:30:57.406691,False
,1200263583,Честные новости,protest_by,1183,2022-07-23 20:30:57.994682,False
,1445922125,Сила дворов,dvor_power,867,2022-07-23 20:31:00.264938,False
,1155100299,💙 ДОБРЫЕ ЛЮДИ 💙,HelpBelarus2020,371,2022-07-23 20:31:00.489628,False
,1171117007,Салідарнасць – главные новости Беларуси,gazetaby,5419,2022-07-23 20:31:01.128915,False
,1227193726,Усы Лукашенко,UsyLukashenko,33396,2022-07-23 20:31:02.262122,False
,1389505022,Кастрычніцкі эканамічны форум,KEF_by,1870,2022-07-23 20:31:02.763850,False
,1294665344,Логойск (не)официально,logoysk_official,3435,2022-07-23 20:31:17.461809,False
,1222749655,Ангарская для жизни,angarskaya_minsk,411,2022-07-23 20:31:18.147977,False
,1292436059,Вольны Захад інфа,zahad97info,230,2022-07-23 20:31:18.454273,False
,1347949787,ЕКРП | Единая Книга Регистрации Преступлений,ekrp_belarus,1919,2022-07-23 20:31:19.387135,False
,1179086644,ПОЛИТЕХ 97%,politech97,478,2022-07-23 20:31:20.631995,False
,1311149156,Профсоюз.онлайн NEWS,blrsonline,118,2022-07-23 20:31:26.920498,False
,1489900933,📻 Радио Перемен,radio_peremen,1362,2022-07-23 20:31:38.431066,False
,1222014419,Fakeby.org,fakebyorg,22,2022-07-23 20:31:38.953389,False
,1242375645,Wir.by,wir_by,704,2022-07-23 20:31:39.195451,False
,1277536923,Talon.by: запись к врачу в Беларуси и медицинский блог,talonby,685,2022-07-23 20:31:39.461522,False
,1424988670,Цэнтр новых ідэй,newbelarusvision,589,2022-07-23 20:31:40.040435,False
,1379701945,Рупар БДМУ/ Рупор БГМУ,ruparbdmu,2187,2022-07-23 20:32:12.196502,False
,1483541908,Мингорисполком,minskiygorispolkom,5533,2022-07-23 20:32:12.687592,False
,1295718566,БЕЛЫЕ ХАЛАТЫ,belxalat,2110,2022-07-23 20:32:14.790094,False
,1455672220,Mikola Dziadok,MDziadok,2870,2022-07-23 20:32:19.039566,False
,1228020770,MIKOLA - люблю свою страну.,MikolaDziadok,810,2022-07-23 20:32:20.376543,False
,1489359547,СНплюс. Свободные новости плюс,snplus,1329,2022-07-23 20:32:23.077452,False
,1395871963,Студэнцкая думка,dumkame,2751,2022-07-23 20:32:24.130156,False
,1294653134,lstr_by,lstr_by,749,2022-07-23 20:32:24.467449,False
,1394184520,Глаза Минска - Север,glazasever,1109,2022-07-23 20:32:25.226448,False
,1350511221,EX-PRESS.BY,expressby,2172,2022-07-23 20:32:26.311848,False
,1190015286,zaprauka.by,zapraukaby,1308,2022-07-23 20:32:27.326826,False
,1225785166,Беларускі ўрбанізм,BY_Urbanism,1416,2022-07-23 20:32:28.326112,False
,1087277913,Мерзкий Кокобай,koko_by,111183,2022-07-23 20:32:29.197528,False
,1202894920,Глаза Минска - Центр,glazacentr,1799,2022-07-23 20:32:31.291641,False
,1316744890,Peramen,peramen_hub,507,2022-07-23 20:32:32.280431,False
,1473974188,За BYnet,zabynet,2880,2022-07-23 20:32:32.517378,False
,1210134655,Promise.by - обещания и реальность,promiseby,424,2022-07-23 20:32:33.369179,False
,1223565007,Честный Бобруйск,Ch_bobr,22,2022-07-23 20:32:35.292098,False
,1453823187,Совет г. Новополоцка,rada_novopolotsk,74,2022-07-23 20:32:37.296693,False
,1227308091,Версия,Versiya_by,162,2022-07-23 20:32:39.245947,False
,1285582137,ByCovid19 - помощь врачам Беларуси,bycovid19,160,2022-07-23 20:32:39.465222,False
,1410443450,Потерялся велосипед (Беларусь),rovar_search,143,2022-07-23 20:32:39.800808,False
,1422691812,DAŠKIEVIČ,Zm_Zmahar,511,2022-07-23 20:32:40.379097,False
,1416595280,Беларускі Бабілон,belbabylon,2297,2022-07-23 20:32:41.395974,False
,1476571764,Лида - город для жизни,Lida_strana,490,2022-07-23 20:32:42.404381,False
,1003307527,Telegram Info,tginfo,55079,2022-07-23 20:32:42.627980,False
,1307209319,Кола's,kolasby,260,2022-07-23 20:32:46.935760,False
,1203861027,Гомель перемен!,homiel_pieramien,326,2022-07-23 20:32:47.186997,False
,1496078848,Пиго Беларуси 🍺,pigo_by,3005,2022-07-23 20:32:50.019102,False
,1089877643,PALCHYS,palchys,10466,2022-07-23 20:32:50.997166,False
,1032211003,Альфа-Банк (Беларусь),alfabankby,56368,2022-07-23 20:32:52.232218,False
,1460293197,Брестская газета: новости - 2022,BGazeta,1778,2022-07-23 20:32:53.147920,False
,1206007360,Вот Так,vottaktv,10565,2022-07-23 20:32:55.139674,False
,1161903399,Стены наше СМИ,stenismi,1153,2022-07-23 20:32:56.109748,False
,1152166287,Наш дзень. Архіў беларускай музыкі,nashdzien,482,2022-07-23 20:32:56.376022,False
,1125929809,"Это Минск, детка!",thisminsk,5154,2022-07-23 20:32:56.639147,False
,1304102227,Гражданин,TheCitizenBelarus,995,2022-07-23 20:32:58.597999,False
,1305646742,Священный Белавуд,holybelawood,1763,2022-07-23 20:32:59.207416,False
,1320563655,отчислено,studentyBY,37983,2022-07-23 20:33:00.196257,False
,1356794821,Батанічныя нататкі,notesbotany,145,2022-07-23 20:33:00.410099,False
,1186713808,Чалюскінцаў News,chaluskincaunews,210,2022-07-23 20:33:01.306174,False
,1449447461,ZRABI,zrabi_ideology,233,2022-07-23 20:33:01.542814,False
,1123046314,Работаем с Пушкиным!,mc_maxim,52729,2022-07-23 20:33:02.214468,False
,1224361619,ИМЕНА,imenamag,720,2022-07-23 20:33:04.174419,False
,1400999067,Везуха. Хорошие новости,vezuhanews,341,2022-07-23 20:33:05.427686,False
,1071756632,Аптека №666,aptekaN666,1753,2022-07-23 20:33:10.358598,False
,1343333666,EPAM Training Center,epamtrainingcenter,7494,2022-07-23 20:33:10.685584,False
,1207293707,🍐Грушвилль🍐,grushville,1284,2022-07-23 20:33:11.341414,False
,1260413980,Брест Live,binklbinkl,2991,2022-07-23 20:33:12.303405,False
,1350116003,Паца-Ваца,pacaby,647,2022-07-23 20:33:12.634810,False
,1304907952,СТОП ХЛУСНЯ,stophlus,11,2022-07-23 20:33:13.321160,False
,1105762061,"Спорт Беларуси — ""Прессбол""",pressballby,1166,2022-07-23 20:33:16.186326,False
,1224307348,REVERA Law Firm,REVERA_firstaid,980,2022-07-23 20:33:17.177776,False
,1178364986,Реальная Беларусь,RealnaiaBelarus,72821,2022-07-23 20:33:19.225556,False
,1089989967,CityDog,citydogby,5526,2022-07-23 20:33:19.492708,False
,1036240821,Медуза — LIVE,meduzalive,1120477,2022-07-23 20:33:21.473348,False
,1198784509,Колонка некодера,necodernotes,4098,2022-07-23 20:33:22.366515,False
,1070197378,s13.ru – Новости Гродно,s13ru,16178,2022-07-23 20:33:22.621128,False
,1194515007,Окрестино помощь,okrestino_help,685,2022-07-23 20:33:23.157678,False
,1338269939,LIDBEER BAR,lidbeerbar,461,2022-07-23 20:33:23.406837,False
,1138287330,Грустный Шпиц,Sadkolyashpitz,173,2022-07-23 20:33:25.414907,False
,1278217592,Будни Беларуси,budnybelarus,4255,2022-07-23 20:33:26.540824,False
,1003921752,BBC News | Русская служба,bbcrussian,364864,2022-07-23 20:33:26.776440,False
,1080396475,Newtonlabs Pro,newtonlabs,3434,2022-07-23 20:33:27.418364,False
,1368717476,Майк и Ник,mike_and_nic,1093,2022-07-23 20:33:28.371117,False
,1108203137,ЗаТелеком,zatelecom,51473,2022-07-23 20:33:29.752604,False
,1357730013,Котики про футбол,goats_by,1262,2022-07-23 20:33:31.477902,False
,1385100210,"Валанцёрская служба ПЦ ""Вясна""",vsviasna,860,2022-07-23 20:33:33.345809,False
,1319044132,Placoüka,placouka,528,2022-07-23 20:33:33.582718,False
,1209270042,Рефлексия и реакция,reflectionbelarus,15651,2022-07-23 20:33:34.434184,False
,1432949332,Пятая колонка,belarus_lite,4834,2022-07-23 20:33:35.448145,False
,1339462990,Баста!,bnkbel,47311,2022-07-23 20:33:38.477744,False
,1209625827,Официальный Минздрав,minzdravbelarus,29558,2022-07-23 20:33:42.405980,False
,1353729204,Профсоюз РЭП,inforep,509,2022-07-23 20:33:42.640439,False
,1140512031,Добрые слова медикам Беларуси,by_med_thank_you,77,2022-07-23 20:33:42.968609,False
,1083959863,Город для людей,gre4ark,18928,2022-07-23 20:33:43.203659,False
,1390044481,Сцежкі Беларусі | Тропинки Беларуси,tropinki,1745,2022-07-23 20:33:43.786404,False
,1304989819,Военкор_BY,mil_by,1749,2022-07-23 20:33:44.868109,False
,1381884016,МВО новости,bikeorgby,237,2022-07-23 20:33:45.938184,False
,1389168730,Не благодари.,donotthank,4558,2022-07-23 20:33:46.698253,False
,1487097303,Не смалю,niesmalu,86,2022-07-23 20:33:46.919621,False
,1270849606,Паркун,parkun,1209,2022-07-23 20:33:47.920581,False
,1385302926,Зелёный портал,greenbel,424,2022-07-23 20:33:48.161556,False
,1114578519,Минск и минчанин,pureminsk,5536,2022-07-23 20:33:48.969512,False
,1338627537,Город в движении,city_in_motion,1269,2022-07-23 20:33:49.902769,False
,1052226869,Фонтанка SPB Online,fontankaspb,112071,2022-07-23 20:33:53.273667,False
,1445204077,Белорус наблюдает [Biełarus naziraje],belarus_naziraje,24,2022-07-23 20:33:53.559915,False
,1238801781,МВД Беларуси,pressmvd,30282,2022-07-23 20:33:54.184649,False
,1266109559,Russians in Belarus,ru_in_by,20,2022-07-23 20:33:55.173377,False
,1254621676,Беларуское мнение,belmne,1194,2022-07-23 20:33:55.410607,False
,1084980152,Городские данные,urbandata,7529,2022-07-23 20:33:56.292638,False
,1237465224,Витебск. Solved!,Vitebsk88,35,2022-07-23 20:33:56.533188,False
,1227951913,Plogging♻️Belarus,ploggingby,118,2022-07-23 20:33:56.755291,False
,1256274486,Объяснил,obyasnil,110,2022-07-23 20:33:56.982159,False
,1261459655,Menski valacuga,menskiV,57,2022-07-23 20:33:57.212949,False
,1242067770,Onliner Auto,autoonliner,4439,2022-07-23 20:33:57.845984,False
,1373223957,Пружанка / Пружанец,pruiprukanal,57,2022-07-23 20:33:58.093666,False
,1280503491,Куда полез?!,kudapolezz,1637,2022-07-23 20:33:58.322437,False
,1113367447,Приоритет для ОТ в городах,city_transport,2331,2022-07-23 20:33:59.034932,False
,1471023305,Ільюкоў,ilyukou,14,2022-07-23 20:33:59.249694,False
,1317338277,Горад для гараджан,cityforcitizens,966,2022-07-23 20:33:59.467236,False
,1115878503,УГАИ ГУВД Мингорисполкома,gaiminsk,10899,2022-07-23 20:33:59.706774,False
,1066339952,Кава & какава,Kava_link,155,2022-07-23 20:33:59.929868,False
,1199486678,Норма,norma_rb,59,2022-07-23 20:34:00.510448,False
,1082120976,Belretail.by,belretail_by,859,2022-07-23 20:34:00.741644,False
,1115381850,Челябинский урбанист,chelurban,8581,2022-07-23 20:34:01.650510,False
,1412364166,ЧП Беларусь,belarusin,19206,2022-07-23 20:34:01.881059,False
,1187668615,Следственный комитет Беларуси,skgovby,14335,2022-07-23 20:34:03.082414,False
,1084120019,Ecoidea.me,ecoideaby,293,2022-07-23 20:34:03.694563,False
,1248283657,Amsterdammer,amsterdammer,7382,2022-07-23 20:34:03.903036,False
,1145664746,Напишите Даше,l_o_s_q_u_e,188,2022-07-23 20:34:04.127912,False
,1168214231,☀️В Бресте всегда солнечно,sunnybrest,201,2022-07-23 20:34:04.837978,False
,1471774218,Акимат,pavel_aki,83,2022-07-23 20:34:05.703762,False
,1296892902,Витебск на ладони,vitebsk974,62,2022-07-23 20:34:08.198885,False
,1295159323,грубо говоря,tak_grubo,3076,2022-07-23 20:34:08.859357,False
